expect,opencode,opentime,code,num1,num2,num3,sum,odd_even_1,big_small_1,rolling_sum_mean,rolling_sum_median,lag1_sum,lag1_odd_even,lag1_big_small,diff1,diff2,sum_mod3,last_digit,sum_digits,parity_last_digit,parity_sum_digits
3264001,"3,7,2",2025-03-21 15:54:30,"[3, 7, 2]",3,7,2,10.468594128693862,0,0,12.0,11.99955340633914,12.0,0.0,0.0,-4,5,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264000,"8,0,9",2025-03-21 15:51:00,"[8, 0, 9]",8,0,9,14.838908613511473,1,1,13.666666666666666,11.99955340633914,12.0,0.0,0.0,8,-9,1.9967086440081907,7,8,0.9999321196649656,-0.0016519072586027518
3263999,"4,7,2",2025-03-21 15:47:30,"[4, 7, 2]",4,7,2,11.342657025657385,1,0,14.0,12.999579936439424,17.0,1.0,1.0,-3,5,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263998,"4,8,7",2025-03-21 15:44:00,"[4, 8, 7]",4,8,7,16.587034407438516,1,1,16.333333333333332,16.99968605684056,13.0,1.0,0.0,-4,1,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263997,"0,6,6",2025-03-21 15:40:30,"[0, 6, 6]",0,6,6,10.468594128693862,0,0,14.666666666666666,12.999579936439424,19.0,1.0,1.0,-6,0,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3263996,"1,8,2",2025-03-21 15:37:00,"[1, 8, 2]",1,8,2,9.594531231730342,1,0,14.0,11.99955340633914,12.0,0.0,0.0,-7,6,1.9967086440081907,1,2,0.9999321196649656,-0.0016519072586027518
3263995,"4,3,6",2025-03-21 15:33:30,"[4, 3, 6]",4,3,6,11.342657025657385,1,0,12.0,11.99955340633914,11.0,1.0,0.0,1,-3,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263994,"1,0,7",2025-03-21 15:30:00,"[1, 0, 7]",1,0,7,6.972342540839776,0,0,10.666666666666666,10.999526876238855,13.0,1.0,0.0,1,-7,1.9967086440081907,8,8,-0.0004751547952966943,-0.0016519072586027518
3263993,"6,6,6",2025-03-21 15:26:30,"[6, 6, 6]",6,6,6,15.712971510474995,0,1,13.0,12.999579936439424,8.0,0.0,0.0,0,0,-0.001827955077440725,8,9,-0.0004751547952966943,0.9987167565063724
3263992,"5,9,8",2025-03-21 15:23:00,"[5, 9, 8]",5,9,8,19.209223098329083,0,1,16.0,17.99971258694084,18.0,0.0,1.0,-4,1,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263991,"6,9,7",2025-03-21 15:19:30,"[6, 9, 7]",6,9,7,19.209223098329083,0,1,20.666666666666668,21.99981870734198,22.0,0.0,1.0,-3,2,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263990,"4,1,1",2025-03-21 15:16:00,"[4, 1, 1]",4,1,1,5.224216746912731,0,0,16.666666666666668,21.99981870734198,22.0,0.0,1.0,3,0,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3263989,"7,6,2",2025-03-21 15:12:30,"[7, 6, 2]",7,6,2,13.090782819584428,1,1,14.333333333333334,14.999632996639992,6.0,0.0,0.0,1,4,-0.001827955077440725,5,6,0.9999321196649656,-0.0016519072586027518
3263988,"8,3,8",2025-03-21 15:09:00,"[8, 3, 8]",8,3,8,16.587034407438516,1,1,13.333333333333334,14.999632996639992,15.0,1.0,1.0,5,-5,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263987,"5,1,7",2025-03-21 15:05:30,"[5, 1, 7]",5,1,7,11.342657025657385,1,0,15.666666666666666,14.999632996639992,19.0,1.0,1.0,4,-6,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263986,"0,9,5",2025-03-21 15:02:00,"[0, 9, 5]",0,9,5,12.216719922620907,0,1,15.333333333333334,13.999606466539708,13.0,1.0,0.0,-9,4,1.9967086440081907,4,5,-0.0004751547952966943,0.9987167565063724
3263985,"0,3,3",2025-03-21 14:58:30,"[0, 3, 3]",0,3,3,5.224216746912731,0,0,11.0,12.999579936439424,14.0,0.0,1.0,-3,0,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3263984,"0,2,0",2025-03-21 14:55:00,"[0, 2, 0]",0,2,0,1.7279651590586436,0,0,7.333333333333333,5.9993942257374355,6.0,0.0,0.0,-2,2,1.9967086440081907,2,2,-0.0004751547952966943,-0.0016519072586027518
3264004,"1,5,0",2025-03-21 16:05:00,"[1, 5, 0]",1,5,0,5.224216746912731,0,0,6.0,5.9993942257374355,13.0,0.0,0.0,-4,5,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3264003,"6,0,6",2025-03-21 16:01:30,"[6, 0, 6]",6,0,6,10.468594128693862,0,0,9.0,8.999473816038288,6.0,0.0,0.0,6,-6,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264002,"5,7,0",2025-03-21 15:58:00,"[5, 7, 0]",5,7,0,10.468594128693862,0,0,10.0,11.99955340633914,12.0,0.0,0.0,-2,7,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264001,"3,7,2",2025-03-21 15:54:30,"[3, 7, 2]",3,7,2,10.468594128693862,0,0,12.0,11.99955340633914,12.0,0.0,0.0,-4,5,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264000,"8,0,9",2025-03-21 15:51:00,"[8, 0, 9]",8,0,9,14.838908613511473,1,1,13.666666666666666,11.99955340633914,12.0,0.0,0.0,8,-9,1.9967086440081907,7,8,0.9999321196649656,-0.0016519072586027518
3263999,"4,7,2",2025-03-21 15:47:30,"[4, 7, 2]",4,7,2,11.342657025657385,1,0,14.0,12.999579936439424,17.0,1.0,1.0,-3,5,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263998,"4,8,7",2025-03-21 15:44:00,"[4, 8, 7]",4,8,7,16.587034407438516,1,1,16.333333333333332,16.99968605684056,13.0,1.0,0.0,-4,1,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263997,"0,6,6",2025-03-21 15:40:30,"[0, 6, 6]",0,6,6,10.468594128693862,0,0,14.666666666666666,12.999579936439424,19.0,1.0,1.0,-6,0,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3263996,"1,8,2",2025-03-21 15:37:00,"[1, 8, 2]",1,8,2,9.594531231730342,1,0,14.0,11.99955340633914,12.0,0.0,0.0,-7,6,1.9967086440081907,1,2,0.9999321196649656,-0.0016519072586027518
3263995,"4,3,6",2025-03-21 15:33:30,"[4, 3, 6]",4,3,6,11.342657025657385,1,0,12.0,11.99955340633914,11.0,1.0,0.0,1,-3,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263994,"1,0,7",2025-03-21 15:30:00,"[1, 0, 7]",1,0,7,6.972342540839776,0,0,10.666666666666666,10.999526876238855,13.0,1.0,0.0,1,-7,1.9967086440081907,8,8,-0.0004751547952966943,-0.0016519072586027518
3263993,"6,6,6",2025-03-21 15:26:30,"[6, 6, 6]",6,6,6,15.712971510474995,0,1,13.0,12.999579936439424,8.0,0.0,0.0,0,0,-0.001827955077440725,8,9,-0.0004751547952966943,0.9987167565063724
3263992,"5,9,8",2025-03-21 15:23:00,"[5, 9, 8]",5,9,8,19.209223098329083,0,1,16.0,17.99971258694084,18.0,0.0,1.0,-4,1,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263991,"6,9,7",2025-03-21 15:19:30,"[6, 9, 7]",6,9,7,19.209223098329083,0,1,20.666666666666668,21.99981870734198,22.0,0.0,1.0,-3,2,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263990,"4,1,1",2025-03-21 15:16:00,"[4, 1, 1]",4,1,1,5.224216746912731,0,0,16.666666666666668,21.99981870734198,22.0,0.0,1.0,3,0,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3263989,"7,6,2",2025-03-21 15:12:30,"[7, 6, 2]",7,6,2,13.090782819584428,1,1,14.333333333333334,14.999632996639992,6.0,0.0,0.0,1,4,-0.001827955077440725,5,6,0.9999321196649656,-0.0016519072586027518
3263988,"8,3,8",2025-03-21 15:09:00,"[8, 3, 8]",8,3,8,16.587034407438516,1,1,13.333333333333334,14.999632996639992,15.0,1.0,1.0,5,-5,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263987,"5,1,7",2025-03-21 15:05:30,"[5, 1, 7]",5,1,7,11.342657025657385,1,0,15.666666666666666,14.999632996639992,19.0,1.0,1.0,4,-6,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263986,"0,9,5",2025-03-21 15:02:00,"[0, 9, 5]",0,9,5,12.216719922620907,0,1,15.333333333333334,13.999606466539708,13.0,1.0,0.0,-9,4,1.9967086440081907,4,5,-0.0004751547952966943,0.9987167565063724
3263985,"0,3,3",2025-03-21 14:58:30,"[0, 3, 3]",0,3,3,5.224216746912731,0,0,11.0,12.999579936439424,14.0,0.0,1.0,-3,0,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3264005,"8,6,2",2025-03-21 16:08:30,"[8, 6, 2]",8,6,2,13.964845716547952,0,1,16.0,15.999659526740276,13.0,0.0,0.0,2,4,0.997440344465375,6,7,-0.0004751547952966943,0.9987167565063724
3264004,"1,5,0",2025-03-21 16:05:00,"[1, 5, 0]",1,5,0,5.224216746912731,0,0,11.0,10.999526876238855,16.0,0.0,1.0,-4,5,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3264003,"6,0,6",2025-03-21 16:01:30,"[6, 0, 6]",6,0,6,10.468594128693862,0,0,11.333333333333334,11.99955340633914,6.0,0.0,0.0,6,-6,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264002,"5,7,0",2025-03-21 15:58:00,"[5, 7, 0]",5,7,0,10.468594128693862,0,0,10.0,11.99955340633914,12.0,0.0,0.0,-2,7,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264001,"3,7,2",2025-03-21 15:54:30,"[3, 7, 2]",3,7,2,10.468594128693862,0,0,12.0,11.99955340633914,12.0,0.0,0.0,-4,5,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3264000,"8,0,9",2025-03-21 15:51:00,"[8, 0, 9]",8,0,9,14.838908613511473,1,1,13.666666666666666,11.99955340633914,12.0,0.0,0.0,8,-9,1.9967086440081907,7,8,0.9999321196649656,-0.0016519072586027518
3263999,"4,7,2",2025-03-21 15:47:30,"[4, 7, 2]",4,7,2,11.342657025657385,1,0,14.0,12.999579936439424,17.0,1.0,1.0,-3,5,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263998,"4,8,7",2025-03-21 15:44:00,"[4, 8, 7]",4,8,7,16.587034407438516,1,1,16.333333333333332,16.99968605684056,13.0,1.0,0.0,-4,1,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263997,"0,6,6",2025-03-21 15:40:30,"[0, 6, 6]",0,6,6,10.468594128693862,0,0,14.666666666666666,12.999579936439424,19.0,1.0,1.0,-6,0,-0.001827955077440725,2,3,-0.0004751547952966943,0.9987167565063724
3263996,"1,8,2",2025-03-21 15:37:00,"[1, 8, 2]",1,8,2,9.594531231730342,1,0,14.0,11.99955340633914,12.0,0.0,0.0,-7,6,1.9967086440081907,1,2,0.9999321196649656,-0.0016519072586027518
3263995,"4,3,6",2025-03-21 15:33:30,"[4, 3, 6]",4,3,6,11.342657025657385,1,0,12.0,11.99955340633914,11.0,1.0,0.0,1,-3,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263994,"1,0,7",2025-03-21 15:30:00,"[1, 0, 7]",1,0,7,6.972342540839776,0,0,10.666666666666666,10.999526876238855,13.0,1.0,0.0,1,-7,1.9967086440081907,8,8,-0.0004751547952966943,-0.0016519072586027518
3263993,"6,6,6",2025-03-21 15:26:30,"[6, 6, 6]",6,6,6,15.712971510474995,0,1,13.0,12.999579936439424,8.0,0.0,0.0,0,0,-0.001827955077440725,8,9,-0.0004751547952966943,0.9987167565063724
3263992,"5,9,8",2025-03-21 15:23:00,"[5, 9, 8]",5,9,8,19.209223098329083,0,1,16.0,17.99971258694084,18.0,0.0,1.0,-4,1,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263991,"6,9,7",2025-03-21 15:19:30,"[6, 9, 7]",6,9,7,19.209223098329083,0,1,20.666666666666668,21.99981870734198,22.0,0.0,1.0,-3,2,0.997440344465375,2,4,-0.0004751547952966943,-0.0016519072586027518
3263990,"4,1,1",2025-03-21 15:16:00,"[4, 1, 1]",4,1,1,5.224216746912731,0,0,16.666666666666668,21.99981870734198,22.0,0.0,1.0,3,0,-0.001827955077440725,6,6,-0.0004751547952966943,-0.0016519072586027518
3263989,"7,6,2",2025-03-21 15:12:30,"[7, 6, 2]",7,6,2,13.090782819584428,1,1,14.333333333333334,14.999632996639992,6.0,0.0,0.0,1,4,-0.001827955077440725,5,6,0.9999321196649656,-0.0016519072586027518
3263988,"8,3,8",2025-03-21 15:09:00,"[8, 3, 8]",8,3,8,16.587034407438516,1,1,13.333333333333334,14.999632996639992,15.0,1.0,1.0,5,-5,0.997440344465375,9,10,0.9999321196649656,-0.0016519072586027518
3263987,"5,1,7",2025-03-21 15:05:30,"[5, 1, 7]",5,1,7,11.342657025657385,1,0,15.666666666666666,14.999632996639992,19.0,1.0,1.0,4,-6,0.997440344465375,3,4,0.9999321196649656,-0.0016519072586027518
3263986,"0,9,5",2025-03-21 15:02:00,"[0, 9, 5]",0,9,5,12.216719922620907,0,1,15.333333333333334,13.999606466539708,13.0,1.0,0.0,-9,4,1.9967086440081907,4,5,-0.0004751547952966943,0.9987167565063724
